datasetname,model,cv_method,basic_prediction_mean,rmse_mean,rmse_std,parameters
df_num_cat_without_pt,Lasso_Regression,cross_val_score,25481.82386334575,22987.30081400004,2957.480805004084,None
df_num_cat_without_pt,ElasticNet_Regression,cross_val_score,32771.96823641279,27041.6963832979,5367.368715830516,None
df_num_cat_without_pt,Logistic_Regression,cross_val_score,56308.035915741246,40601.82888976069,8047.801154972376,None
df_num_cat_without_pt,LinearSVR,cross_val_score,165261.52328686294,163267.85094438813,12722.945909486532,None
df_num_cat_without_pt,GradientBoosting_Regression,cross_val_score,24013.092876944043,22118.977727266923,3341.85232295405,None
df_num_cat_without_pt,XGBoost_Regression,cross_val_score,25439.121095077164,23841.360947181332,3519.8368212742093,None
df_num_cat_without_pt,LightGBM_Regression,cross_val_score,25561.472850669732,21723.489278593745,3302.8904841645262,None
df_num_cat_without_pt,Linear_Regression,kfold,17730837118457.52,1387972901159815.8,3683799571638750.5,None
df_num_cat_without_pt,KNeighbors_Regression,kfold,25396.88242622693,29815.430245211744,3495.3305771975643,None
df_num_cat_without_pt,Decision_Tree,kfold,30936.44790534298,34132.66417017548,2404.2803210632983,None
df_num_cat_without_pt,Random_Forest,kfold,19447.482759923463,24117.692396979546,2625.844025246434,None
df_num_cat_without_pt,SGD_Regression,kfold,18393.36647151151,22377.04318274198,2575.5137608515115,None
df_num_cat_without_pt,Ridge_Regression,kfold,19581.93574636616,22791.674319727183,2339.825650953447,None
df_num_cat_without_pt,Lasso_Regression,kfold,20293.65678114246,23513.01327939822,2446.1923678979747,None
df_num_cat_without_pt,ElasticNet_Regression,kfold,21182.008415457753,27575.584625427447,3617.415841179195,None
df_num_cat_without_pt,Logistic_Regression,kfold,34109.4385836641,41723.59841079673,5378.9622286587555,None
df_num_cat_without_pt,LinearSVR,kfold,148497.2566036948,160972.99725153946,6559.327041064609,None
df_num_cat_without_pt,GradientBoosting_Regression,kfold,18201.809824435815,21349.90759518413,2139.9971425361377,None
df_num_cat_without_pt,XGBoost_Regression,kfold,21619.416081963805,23920.35064114781,1884.4613688304396,None
df_num_cat_without_pt,LightGBM_Regression,kfold,18061.954033357633,21746.448432323523,2630.7504678105215,None
df_num_cat_without_pt,Linear_Regression,repeatedkfold,23100.249134267306,3112707091669037.5,1.064705459244554e+16,None
df_num_cat_without_pt,KNeighbors_Regression,repeatedkfold,21250.145544886054,30128.556061887535,4052.8339173191334,None
df_num_cat_without_pt,Decision_Tree,repeatedkfold,25996.453740735542,36158.36204727438,4628.751231944857,None
df_num_cat_without_pt,Random_Forest,repeatedkfold,16528.48533297493,24251.74281102928,3456.9803450149934,None
df_num_cat_without_pt,SGD_Regression,repeatedkfold,15917.139799194154,22616.23085461894,3216.6490421257554,None
df_num_cat_without_pt,Ridge_Regression,repeatedkfold,16699.023415968102,22957.563175555006,3037.910871773839,None
df_num_cat_without_pt,Lasso_Regression,repeatedkfold,16995.86648545106,23731.333774237606,3044.606965222464,None
df_num_cat_without_pt,ElasticNet_Regression,repeatedkfold,21182.008415457753,27580.148856453932,4503.102695812393,None
df_num_cat_without_pt,Logistic_Regression,repeatedkfold,31181.800253062647,41879.49203743487,6183.7364642195025,None
df_num_cat_without_pt,LinearSVR,repeatedkfold,142639.40427529515,160872.26596558403,8733.444176305286,None
df_num_cat_without_pt,GradientBoosting_Regression,repeatedkfold,15818.70135269711,21805.877228295114,3205.2352217496896,None
df_num_cat_without_pt,XGBoost_Regression,repeatedkfold,18216.186079591986,24141.17662014371,3051.595195007089,None
df_num_cat_without_pt,LightGBM_Regression,repeatedkfold,17388.945856545186,22216.656431403404,3255.8368200571176,None
df_num_cat_without_pt,Linear_Regression,stratifiedkfold,1445982927291.9338,1072303125417461.0,2577495795848514.5,None
df_num_cat_without_pt,KNeighbors_Regression,stratifiedkfold,25298.05133273931,30214.904855951656,3417.158623781811,None
df_num_cat_without_pt,Decision_Tree,stratifiedkfold,30822.358971166457,36986.538251765814,4597.166483945296,None
df_num_cat_without_pt,Random_Forest,stratifiedkfold,20605.136788194985,24149.712540684395,2367.9265642386304,None
df_num_cat_without_pt,SGD_Regression,stratifiedkfold,18370.5578514288,22644.88175764641,2223.0670731517916,None
df_num_cat_without_pt,Ridge_Regression,stratifiedkfold,18398.806430177472,22906.879895062393,2045.3732453703815,None
df_num_cat_without_pt,Lasso_Regression,stratifiedkfold,19188.87731134322,23521.89797321692,1999.9067943431091,None
df_num_cat_without_pt,ElasticNet_Regression,stratifiedkfold,21363.601167025383,27535.417339872998,4815.35011815179,None
df_num_cat_without_pt,Logistic_Regression,stratifiedkfold,35238.587995647715,40671.30958927372,5247.164885231316,None
df_num_cat_without_pt,LinearSVR,stratifiedkfold,148643.3437515434,160914.50500375556,7516.170981017843,None
df_num_cat_without_pt,GradientBoosting_Regression,stratifiedkfold,18511.95708446329,21747.109339260373,2067.649864980897,None
df_num_cat_without_pt,XGBoost_Regression,stratifiedkfold,18364.75739948273,23270.37831183424,2926.2721132069864,None
df_num_cat_without_pt,LightGBM_Regression,stratifiedkfold,17065.359550761954,21845.67673187688,2541.6492210812607,None
df_num_cat_without_pt,Linear_Regression,shufflesplit,5756003576788.011,7525266398770469.0,1.9752890352678452e+16,None
df_num_cat_without_pt,KNeighbors_Regression,shufflesplit,27450.45205333642,30189.301289286806,2080.234178752765,None
df_num_cat_without_pt,Decision_Tree,shufflesplit,33401.785273297566,36827.66433047187,2009.0493003098977,None
df_num_cat_without_pt,Random_Forest,shufflesplit,20960.34762675246,23541.543912258,2246.822909027142,None
df_num_cat_without_pt,SGD_Regression,shufflesplit,19455.43341954073,22278.59307108891,1797.5872493952534,None
df_num_cat_without_pt,Ridge_Regression,shufflesplit,20754.11508496069,23114.332699126506,1610.0737668937163,None
df_num_cat_without_pt,Lasso_Regression,shufflesplit,21818.6680771069,24302.044368079623,1400.8264148700348,None
df_num_cat_without_pt,ElasticNet_Regression,shufflesplit,24688.983161797867,27327.69411944761,2207.759179344827,None
df_num_cat_without_pt,Logistic_Regression,shufflesplit,37577.42327619419,43015.33439063385,2956.28623027037,None
df_num_cat_without_pt,LinearSVR,shufflesplit,159260.33308045776,165545.87168461204,2531.9901040854015,None
df_num_cat_without_pt,GradientBoosting_Regression,shufflesplit,19112.434804133572,21350.585297920126,2021.3998321698753,None
df_num_cat_without_pt,XGBoost_Regression,shufflesplit,21129.032149416573,23455.51114498884,1747.9481547389823,None
df_num_cat_without_pt,LightGBM_Regression,shufflesplit,19360.684378070477,21648.913702680722,2169.7969412309603,None
df_num_cat_with,Linear_Regression,cross_val_score,3584810548.3766985,6229351188.9098,12106014570.472393,None
df_num_cat_with,KNeighbors_Regression,cross_val_score,51433.25575021997,39804.09319103575,5148.0954099219625,None
df_num_cat_with,Decision_Tree,cross_val_score,36008.37781462225,38250.297506326504,5350.304923328084,None
df_num_cat_with,Random_Forest,cross_val_score,27004.89461998224,25023.261521057917,3655.622871637143,None
df_num_cat_with,SGD_Regression,cross_val_score,1.1473905390486534e+16,5.192594454658024e+16,2.536114847462267e+16,None
df_num_cat_with,Ridge_Regression,cross_val_score,21905.52234758379,22206.06279274428,2678.693676746172,None
df_num_cat_with,Lasso_Regression,cross_val_score,22727.645696186326,23885.170341472414,2553.8648220200016,None
df_num_cat_with,ElasticNet_Regression,cross_val_score,29751.569696915325,26860.765308573365,4059.0253986016114,None
df_num_cat_with,Logistic_Regression,cross_val_score,61010.43957941881,51133.03488617627,5736.82905277805,None
df_num_cat_with,LinearSVR,cross_val_score,45337.82818250281,51480.48294015021,16889.42867214883,None
df_num_cat_with,GradientBoosting_Regression,cross_val_score,23643.317544707443,22576.847485163264,3772.474612845405,None
df_num_cat_with,XGBoost_Regression,cross_val_score,24072.037073450465,24401.958868099227,3595.132628318266,None
df_num_cat_with,LightGBM_Regression,cross_val_score,26566.523939132025,22805.68140831023,3451.456471062982,None
df_num_cat_with,Linear_Regression,kfold,22076.624238335316,319977804.48469037,402510595.3372878,None
df_num_cat_with,KNeighbors_Regression,kfold,35313.74279859354,41088.70971127655,5034.57661632634,None
df_num_cat_with,Decision_Tree,kfold,30413.50861000773,36256.7530719704,5058.412412208934,None
df_num_cat_with,Random_Forest,kfold,20973.914658294314,24829.28720753181,2867.881391357016,None
df_num_cat_with,SGD_Regression,kfold,3.150162901546037e+16,5.867027146174106e+16,2.1623018866643144e+16,None
df_num_cat_with,Ridge_Regression,kfold,19499.85071336885,22127.05865142011,2048.0053212763205,None
df_num_cat_with,Lasso_Regression,kfold,19743.123737430145,23869.061772868015,3327.483043943557,None
df_num_cat_with,ElasticNet_Regression,kfold,21682.0226297416,27145.269126586587,3140.6407070137666,None
df_num_cat_with,Logistic_Regression,kfold,42619.592334012195,51925.54965494619,4892.443163180761,None
df_num_cat_with,LinearSVR,kfold,37317.93602840864,48521.28757775361,9512.660372859022,None
df_num_cat_with,GradientBoosting_Regression,kfold,18415.722662383254,22557.946495482254,2565.677068447869,None
df_num_cat_with,XGBoost_Regression,kfold,20977.175781078215,24992.864787537786,2693.7448733222473,None
df_num_cat_with,LightGBM_Regression,kfold,19873.239074442597,22768.055553395505,2281.6451576411655,None
df_num_cat_with,Linear_Regression,repeatedkfold,19491.953355005655,1166374412.8231146,4455072169.043599,None
df_num_cat_with,KNeighbors_Regression,repeatedkfold,30094.998829744436,41065.73531941621,5533.686263890268,None
df_num_cat_with,Decision_Tree,repeatedkfold,28256.648123219078,37757.18252320266,4737.177316939959,None
df_num_cat_with,Random_Forest,repeatedkfold,18631.954308970562,25074.9737313041,3517.9647187213805,None
df_num_cat_with,SGD_Regression,repeatedkfold,1.1730150063701508e+16,7.728367234641434e+16,9.492363565164102e+16,None
df_num_cat_with,Ridge_Regression,repeatedkfold,16329.279319118066,22217.777843874603,2663.377782688999,None
df_num_cat_with,Lasso_Regression,repeatedkfold,18212.329807053677,23636.38191848761,2742.936310635286,None
df_num_cat_with,ElasticNet_Regression,repeatedkfold,21344.142285530434,27213.178700110693,3442.058000828593,None
df_num_cat_with,Logistic_Regression,repeatedkfold,39933.0593727749,52360.81448319391,6041.455805928895,None
df_num_cat_with,LinearSVR,repeatedkfold,31101.641307834612,49087.077495083286,16805.791127468885,None
df_num_cat_with,GradientBoosting_Regression,repeatedkfold,17219.576610595937,22753.6747144904,3296.8543598826363,None
df_num_cat_with,XGBoost_Regression,repeatedkfold,17558.44796613353,25000.80140519171,3603.357512900098,None
df_num_cat_with,LightGBM_Regression,repeatedkfold,16459.524039942404,22774.502379439527,3313.727382651802,None
df_num_cat_with,Linear_Regression,stratifiedkfold,20735.38956063659,1088633375.1039166,1853457625.4170759,None
df_num_cat_with,KNeighbors_Regression,stratifiedkfold,33037.190319038185,41091.886860210674,5304.449857666722,None
df_num_cat_with,Decision_Tree,stratifiedkfold,27512.604504223866,38345.93284757329,5417.572023068265,None
df_num_cat_with,Random_Forest,stratifiedkfold,19777.074636126392,24823.88753335,3438.2756907526364,None
df_num_cat_with,SGD_Regression,stratifiedkfold,2.413376412068767e+16,8.241149984451504e+16,6.752016302171229e+16,None
df_num_cat_with,Ridge_Regression,stratifiedkfold,19462.080144602744,22001.555092935287,1798.2402976009796,None
df_num_cat_with,Lasso_Regression,stratifiedkfold,20629.921970558575,22945.073679751542,2137.0237362513535,None
df_num_cat_with,ElasticNet_Regression,stratifiedkfold,21499.383379478742,27097.777440438273,3649.08800746296,None
df_num_cat_with,Logistic_Regression,stratifiedkfold,39707.36775231416,53091.21426107851,7130.182567111929,None
df_num_cat_with,LinearSVR,stratifiedkfold,32636.08088472141,48517.165440615856,19475.201137835422,None
df_num_cat_with,GradientBoosting_Regression,stratifiedkfold,17025.057855533854,22695.940442147148,2843.891288516489,None
df_num_cat_with,XGBoost_Regression,stratifiedkfold,19503.885022176688,24998.617431779025,2761.92975002411,None
df_num_cat_with,LightGBM_Regression,stratifiedkfold,17642.701201124473,22817.528459926216,2494.639906265872,None
df_num_cat_with,Linear_Regression,shufflesplit,24313.84196671719,398313960.5981944,1132557118.1857657,None
df_num_cat_with,KNeighbors_Regression,shufflesplit,38278.96072582227,41530.58489492957,2208.231232093368,None
df_num_cat_with,Decision_Tree,shufflesplit,32030.63386342446,38220.05750481131,3787.4863907255617,None
df_num_cat_with,Random_Forest,shufflesplit,22345.524504240435,24864.8736930527,1918.645454057706,None
df_num_cat_with,SGD_Regression,shufflesplit,2.363305777474984e+16,6.435598798570304e+16,2.840894204429947e+16,None
df_num_cat_with,Ridge_Regression,shufflesplit,20024.80998961823,22341.10639150662,1392.0637674057816,None
df_num_cat_with,Lasso_Regression,shufflesplit,22923.272442831,25003.20504350934,1301.6354066474403,None
df_num_cat_with,ElasticNet_Regression,shufflesplit,24120.752285353065,26793.934155867493,2127.7805738444317,None
df_num_cat_with,Logistic_Regression,shufflesplit,45192.62722513646,54379.40699757752,4296.045965828695,None
df_num_cat_with,LinearSVR,shufflesplit,41081.60097737733,56516.87032099608,17121.139749769824,None
df_num_cat_with,GradientBoosting_Regression,shufflesplit,19354.389938116827,22255.00633287215,1778.9569395806136,None
df_num_cat_with,XGBoost_Regression,shufflesplit,22056.223536100424,24174.306919559713,1660.8883902416028,None
df_num_cat_with,LightGBM_Regression,shufflesplit,20177.091842304322,22917.03639595717,2002.0267976251394,None
df_num_cat_with_pt,Linear_Regression,cross_val_score,237766106615275.06,460902457364697.6,418584716491407.3,None
df_num_cat_with_pt,KNeighbors_Regression,cross_val_score,31634.88748319176,28626.463109480985,3331.4306895497416,None
df_num_cat_with_pt,Decision_Tree,cross_val_score,33794.952816287114,38972.129401541606,4685.010612494317,None
df_num_cat_with_pt,Random_Forest,cross_val_score,29215.980043939846,24998.490621023644,3864.8825215470933,None
df_num_cat_with_pt,SGD_Regression,cross_val_score,23222.241521159325,22071.630595448973,3062.2242381157134,None
df_num_cat_with_pt,Ridge_Regression,cross_val_score,23300.028114671313,22550.097254170563,2885.8574660465065,None
df_num_cat_with_pt,Lasso_Regression,cross_val_score,24469.241019867113,24291.39685561585,2795.175068930018,None
df_num_cat_with_pt,ElasticNet_Regression,cross_val_score,34728.904270474086,28612.194941039437,5552.0256654,None
df_num_cat_with_pt,Logistic_Regression,cross_val_score,53836.205704856766,40090.84041593388,6795.80922212368,None
df_num_cat_with_pt,LinearSVR,cross_val_score,155426.82761035115,153944.46308933146,12837.134345201635,None
df_num_cat_with_pt,GradientBoosting_Regression,cross_val_score,23370.56122893017,22565.24818254557,3884.9874740394716,None
df_num_cat_with_pt,XGBoost_Regression,cross_val_score,24287.107546767715,24440.21780433804,3586.4594102909855,None
df_num_cat_with_pt,LightGBM_Regression,cross_val_score,26009.68663586881,22806.88659000993,3304.9962702534503,None
