,datasetname,model,cv_method,basic_prediction_mean,rmse_mean,rmse_std,parameters
8,df_logalized_not_scaled,Logistic_Regression,kfold,64975.1914048293,74932.0928797985,5716.039420695409,None
9,df_logalized_not_scaled,LinearSVR,kfold,34371.87737943793,49845.58356178376,12590.116756681153,None
10,df_logalized_not_scaled,GradientBoosting_Regression,kfold,19879.020632764616,22929.477875885575,2232.1503219808546,None
11,df_logalized_not_scaled,XGBoost_Regression,kfold,19910.694369027064,24796.089768191818,2296.4147722748394,None
12,df_logalized_not_scaled,LightGBM_Regression,kfold,19211.827839295664,22705.44694381277,2782.0573788033817,None
0,df_logalized_not_scaled,Linear_Regression,repeatedkfold,18733.616082061028,24586.259932351903,2707.450232121374,None
1,df_logalized_not_scaled,KNeighbors_Regression,repeatedkfold,37332.09807984917,48410.99788173093,5094.857410989336,None
2,df_logalized_not_scaled,Decision_Tree,repeatedkfold,28762.17426208611,37609.282535519524,4560.192200536481,None
3,df_logalized_not_scaled,Random_Forest,repeatedkfold,18407.709755349104,25247.60832315499,3559.7581707048985,None
4,df_logalized_not_scaled,SGD_Regression,repeatedkfold,3204609753727798.5,7.439136249800544e+16,1.364523940433177e+17,None
5,df_logalized_not_scaled,Ridge_Regression,repeatedkfold,16605.917295422758,22365.96304388768,2798.990521172479,None
6,df_logalized_not_scaled,Lasso_Regression,repeatedkfold,18749.522616557475,24056.22238248878,2780.2288650202113,None
7,df_logalized_not_scaled,ElasticNet_Regression,repeatedkfold,22198.023634825462,29738.3774153201,3830.0209358710986,None
8,df_logalized_not_scaled,Logistic_Regression,repeatedkfold,58454.552841614,74453.9499262307,8314.543628276517,None
9,df_logalized_not_scaled,LinearSVR,repeatedkfold,32805.19425336482,51326.08896188185,18393.373742262786,None
10,df_logalized_not_scaled,GradientBoosting_Regression,repeatedkfold,17735.798377472212,23017.413935862678,3185.8763975611073,None
11,df_logalized_not_scaled,XGBoost_Regression,repeatedkfold,18838.235619639243,25189.744033675863,3281.1031014671203,None
12,df_logalized_not_scaled,LightGBM_Regression,repeatedkfold,15990.87945148361,23016.372221203586,3397.7767478632263,None
0,df_logalized_not_scaled,Linear_Regression,stratifiedkfold,21078.035071725753,23715.461282796496,2230.3736786449986,None
1,df_logalized_not_scaled,KNeighbors_Regression,stratifiedkfold,39722.83361419502,47817.71399591358,5416.934145903149,None
2,df_logalized_not_scaled,Decision_Tree,stratifiedkfold,27015.306545718187,37569.471394902575,4650.349617262768,None
3,df_logalized_not_scaled,Random_Forest,stratifiedkfold,20203.989215893158,25265.112854452524,3245.940324628546,None
4,df_logalized_not_scaled,SGD_Regression,stratifiedkfold,1.8781241384541336e+16,4.428779941875481e+16,2.2134419604016824e+16,None
5,df_logalized_not_scaled,Ridge_Regression,stratifiedkfold,19357.481535194605,21943.05797418795,1987.126654737283,None
6,df_logalized_not_scaled,Lasso_Regression,stratifiedkfold,20733.0515628221,23211.261962160406,2284.8724220175204,None
7,df_logalized_not_scaled,ElasticNet_Regression,stratifiedkfold,23951.24765191502,29578.141101759888,3999.4687289305407,None
8,df_logalized_not_scaled,Logistic_Regression,stratifiedkfold,64570.214927536996,75067.94039676184,7296.361901984974,None
9,df_logalized_not_scaled,LinearSVR,stratifiedkfold,31341.065373876118,49780.993384951915,12973.524356794811,None
10,df_logalized_not_scaled,GradientBoosting_Regression,stratifiedkfold,17874.65707353712,22471.887324681076,2851.969240239383,None
11,df_logalized_not_scaled,XGBoost_Regression,stratifiedkfold,19888.0083740068,25725.890101744102,3748.718934678326,None
12,df_logalized_not_scaled,LightGBM_Regression,stratifiedkfold,17406.907288564795,22986.905956366172,3301.970110614716,None
0,df_logalized_not_scaled,Linear_Regression,shufflesplit,23940.310380123858,26066.151573328298,1488.546213801774,None
1,df_logalized_not_scaled,KNeighbors_Regression,shufflesplit,45999.206890421774,47978.406131439646,1323.7818004323817,None
2,df_logalized_not_scaled,Decision_Tree,shufflesplit,32755.00542410783,38804.78861782549,3721.596565535526,None
3,df_logalized_not_scaled,Random_Forest,shufflesplit,22283.361265697666,24985.03169223365,1898.1601360019704,None
